FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Horizon Europe Transitional Measures,192152,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,251554,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,254652,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Programmes,406668,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,328076,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,577726,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,380330,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,439356,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,473510,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,400926,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,509822,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,407475,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,490044,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,458348,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,498756,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,289114,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,476000,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,401125,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,499986,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,462435,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,437317,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,391029,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,487336,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,465464,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,477543,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,499978,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,484820,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Programmes,459019,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 80
Science communication,1523,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Article
Science communication,1795,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Article
Science communication,1443,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Article
